"income","sex","family.size","urbanity","province","AP.income","AP.family.size","AP.weight"
"151",451365,"male",7.5,"urban","La Union",610444,9,1631
"152",137887,"male",3,"urban","La Union",184831.5,3,1631
"153",203240,"male",3,"urban","La Union",446016,7,1631
"154",205097,"male",5,"urban","La Union",160735.4,5,1631
"155",33320,"male",3,"urban","La Union",19932,3,1631
"156",37578,"male",5,"urban","La Union",69527.5,5,1631
"157",163665,"male",7,"urban","La Union",78174,6,1631
"158",25050,"male",3,"urban","La Union",23496,1,1631
"159",132080,"female",4,"urban","La Union",115873.26,4,1631
"160",60578,"male",4,"urban","La Union",83179.25,4,1631
"161",94522,"female",4.5,"urban","La Union",107140,5,1631
"162",46123,"female",3.5,"urban","La Union",74910,2,1631
"163",45497,"male",6,"urban","La Union",55352,6,1631
"164",55884,"male",6,"urban","La Union",47752.8,7,1631
"165",42915,"male",2,"urban","La Union",37149,2,1631
"166",70058,"male",5,"urban","La Union",90455.6,5,1631
"167",48906,"male",2,"urban","La Union",47380.2,1,1631
"168",128434,"female",7,"urban","La Union",83968.92,7,1631
"169",116147,"male",6,"urban","La Union",134621.48,6,1631
"170",122287,"male",2.5,"urban","La Union",64785.42,2,1631
"171",85613,"male",5,"urban","La Union",32441.2,5,1631
"172",44810,"female",1,"urban","La Union",57246,2,1631
"173",258058,"male",4,"urban","La Union",238339.8,7,1631
"174",59650,"male",5,"urban","La Union",40397,5,1631
"175",169039,"male",4,"urban","La Union",163191.76,4,1631
"176",31909,"male",6,"urban","La Union",49643,6,1631
"177",78197,"male",7,"urban","La Union",15768.12,7,1631
"178",55425,"male",4,"urban","La Union",27770.4,4,1631
"179",45082,"male",3.5,"rural","La Union",69609.2,4,4194
"180",42202,"male",4,"rural","La Union",91679.72,3,4194
"181",32896,"male",4,"rural","La Union",42250.32,4,4194
"182",36877,"male",3,"rural","La Union",42020,4,4194
"183",22534,"male",4,"rural","La Union",30254.4,3,4194
"184",42070,"male",5,"rural","La Union",85162,5,4194
"185",38000,"male",7.5,"rural","La Union",39195.2,7,4194
"186",80142,"male",3,"rural","La Union",83163.4,1,4194
"187",41896,"male",4.5,"rural","La Union",66088,4,4194
"188",28082,"male",4.5,"rural","La Union",45139.6,5,4194
"189",63570,"male",5,"rural","La Union",123860,5,4194
"190",30163,"male",3,"rural","La Union",41646,4,4194
"191",193764,"male",6,"rural","La Union",148774.64,7,4194
"192",55953,"male",4.5,"rural","La Union",29480,4,4194
"193",392699,"male",4,"rural","La Union",359977.2,4,4194
"194",134432,"male",9.5,"rural","La Union",55836,10,4194
"195",81309,"male",3,"rural","La Union",119770,3,4194
"196",73285,"male",3.5,"rural","La Union",45870,4,4194
"197",276079,"male",5.5,"rural","La Union",260469.3,5,4194
"198",206004,"male",7.5,"rural","La Union",45958,8,4194
"199",19451,"male",4,"rural","La Union",44374,4,4194
"200",31341,"male",3,"rural","La Union",58751,3,4194
"201",44040,"male",5,"rural","La Union",39534,4,4194
"202",86104,"female",2,"rural","La Union",58788.8,3,4194
"203",59180,"male",6,"rural","La Union",49544,6,4194
"204",41971,"male",2,"rural","La Union",26098.4,2,4194
"205",32631,"male",2,"rural","La Union",39028,2,4194
"206",31599,"female",4,"rural","La Union",26752,4,4194
"207",31573,"male",4,"rural","La Union",31416,4,4194
"208",39567,"male",7,"rural","La Union",31262,7,4194
"209",20217,"male",2,"rural","La Union",22484,1,4194
"210",63276,"male",5,"rural","La Union",47498,4,4194
"211",26713,"female",5,"rural","La Union",43340,6,4194
"212",17525,"male",3,"rural","La Union",34166,3,4194
"213",55814,"male",7,"rural","La Union",52096,6,4194
"214",30876,"female",8,"rural","La Union",28600,7,4194
"215",39628,"male",4,"rural","La Union",29818.8,4,4194
"216",33368,"male",7,"rural","La Union",36740,8,4194
"217",276881,"male",6,"rural","La Union",367919.2,6,4194
"218",76372,"male",4,"rural","La Union",134090,5,4194
"219",13999,"male",2,"rural","La Union",15224,2,4194
"220",33260,"female",1,"rural","La Union",51982.68,1,4194
"221",43785,"female",4,"rural","La Union",74113.6,5,4194
"222",43656,"male",4,"rural","La Union",48639.8,4,4194
"223",49738,"male",2,"rural","La Union",19800,2,4194
"224",41393,"male",2,"rural","La Union",14960,2,4194
"225",29738,"male",3,"rural","La Union",42240,5,4194
"226",61664,"male",7,"rural","La Union",37989.6,7,4194
"227",386678,"male",7,"rural","La Union",489294.96,7,4194
"228",328215,"male",4,"rural","La Union",282322.25,4,4194
"229",82406,"male",2,"rural","La Union",55677.6,1,4194
"230",65514,"male",5,"rural","La Union",54160.4,6,4194
"231",255400,"male",3,"rural","La Union",85446,4,4194
"232",116258,"male",5,"rural","La Union",93465.4,5,4194
"233",24512,"female",2,"rural","La Union",29512.2,2,4194
"234",76741,"male",5,"rural","La Union",79163.8,5,4194
"235",212846,"male",4,"rural","La Union",198249.8,4,4194
"236",164093,"male",3.5,"rural","La Union",363135.4,3,4194
"237",117206,"male",4,"rural","La Union",87322.4,3,4194
"238",32562,"male",4.5,"rural","La Union",58973.2,6,4194
"239",101932,"female",9,"rural","La Union",268140.4,11,4194
"240",230685,"male",6,"rural","La Union",218793.4,6,4194
"241",44304,"female",3,"rural","La Union",62686.4,4,4194
"242",157930,"male",4.5,"rural","La Union",261800,3,4194
"243",66588,"male",5.5,"rural","La Union",56111,6,4194
"244",38416,"male",8,"rural","La Union",39116,8,4194
"245",58230,"male",4,"rural","La Union",65582,4,4194
"246",297090,"male",12,"rural","La Union",6820,8,4194
"247",36669,"male",5.5,"rural","La Union",57134,6,4194
"248",48156,"male",3,"rural","La Union",75163,3,4194
"249",240042,"male",5,"rural","La Union",178279.2,5,4194
"250",78252,"male",5,"urban","Pangasinan",73853.43,6,3207
"251",169533,"female",3,"urban","Pangasinan",330000,3,3207
"252",120286,"female",1.5,"urban","Pangasinan",132000,1,3207
"253",91300,"male",5.5,"urban","Pangasinan",47017.52,6,3207
"254",53088,"female",2,"urban","Pangasinan",35371.6,2,3207
"255",75829,"female",8,"urban","Pangasinan",77871.2,8,3207
"256",72556,"female",5,"urban","Pangasinan",79464,5,3207
"257",120516,"female",7,"urban","Pangasinan",95328.8,5,3207
"258",212132,"male",4,"urban","Pangasinan",175740,4,3207
"259",29644,"male",3,"urban","Pangasinan",27465.9,3,3207
"260",49844,"male",7,"urban","Pangasinan",48557.6,7,3207
"261",65053,"male",7,"urban","Pangasinan",41690,6,3207
"262",47535,"male",5,"urban","Pangasinan",94972.32,5,3207
"263",104390,"male",7,"urban","Pangasinan",82294.8,8,3207
"264",107993,"male",7,"urban","Pangasinan",62106,6,3207
"265",50531,"male",7,"urban","Pangasinan",47397.28,7,3207
"266",40177,"male",5,"urban","Pangasinan",22638,6,3207
"267",60313,"male",5,"urban","Pangasinan",99880,5,3207
"268",45687,"male",6.5,"urban","Pangasinan",42904.8,8,3207
"269",244880,"female",6,"urban","Pangasinan",383670,6,3207
"270",138409,"female",3.5,"urban","Pangasinan",211200,3,3207
"271",76247,"male",6,"urban","Pangasinan",67375,6,3207
"272",101411,"male",3,"urban","Pangasinan",124014.73,3,2940
"273",57626,"male",4,"urban","Pangasinan",47066,5,2940
"274",96889,"male",7,"urban","Pangasinan",120216.6,8,2940
"275",37971,"male",5,"urban","Pangasinan",39975.8,5,2940
"276",36028,"male",2,"urban","Pangasinan",27023.56,3,2940
"277",57391,"male",3,"urban","Pangasinan",47718,3,2940
"278",87571,"male",11.5,"urban","Pangasinan",38082.8,11,2940
"279",30191,"male",3,"urban","Pangasinan",13125.2,4,2940
"280",67362,"male",9,"urban","Pangasinan",38513.32,8,2940
"281",68930,"female",6,"urban","Pangasinan",70174.8,7,2940
"282",28618,"male",8,"urban","Pangasinan",54626,8,2940
"283",109836,"male",6,"urban","Pangasinan",67872,6,2940
"284",189281,"male",10,"urban","Pangasinan",1073677.15,10,2940
"285",58759,"male",7,"urban","Pangasinan",68222,9,2940
"286",56540,"female",5,"urban","Pangasinan",56324.4,5,2940
"287",178426,"male",3,"urban","Pangasinan",179740,9,2940
"288",140748,"male",9,"urban","Pangasinan",123321,10,2940
"289",110300,"male",5,"urban","Pangasinan",77254.9,5,2940
"290",112460,"male",3.5,"urban","Pangasinan",64046.5,4,2940
"291",125181,"male",5,"urban","Pangasinan",48492.64,6,2940
"292",137196,"male",7,"urban","Pangasinan",97566,4,2940
"293",108858,"male",4,"urban","Pangasinan",148469.2,4,2940
"294",89814,"male",10,"urban","Pangasinan",64034,10,2940
"295",130220,"female",2.5,"urban","Pangasinan",31059,4,2940
"296",138547,"female",4.5,"urban","Pangasinan",174240,4,2940
"297",244354,"male",4,"urban","Pangasinan",258211.94,6,2940
"298",196067,"male",4,"urban","Pangasinan",125240,4,2940
"299",82399,"male",5,"urban","Pangasinan",96217.94,4,2940
"300",43366,"male",5.5,"urban","Pangasinan",103015.96,8,2940
"301",104523,"male",6,"urban","Pangasinan",42420,7,2940
"302",113912,"male",5,"urban","Pangasinan",93720,5,2940
"303",195607,"male",2.5,"urban","Pangasinan",1092140,8,2940
"304",137025,"female",8,"urban","Pangasinan",90500.04,8,2940
"305",216190,"male",7,"urban","Pangasinan",127260,7,2940
"306",123109,"male",6,"urban","Pangasinan",147743.4,6,3207
"307",300071,"male",6,"urban","Pangasinan",1666500,7,3207
"308",63231,"male",4,"urban","Pangasinan",66599.4,4,3207
"309",226425,"female",4,"urban","Pangasinan",165000,4,3207
"310",145700,"male",6,"urban","Pangasinan",147479.5,6,3207
"311",294880,"male",3,"urban","Pangasinan",357038.43,3,3207
"312",226866,"male",5,"urban","Pangasinan",267145,4,3207
"313",64665,"male",5,"urban","Pangasinan",37046.8,5,3207
"314",257290,"male",4.5,"urban","Pangasinan",472437.6,5,3207
"315",171281,"male",9,"urban","Pangasinan",179076.45,9,3207
"316",369106,"female",4,"urban","Pangasinan",193702.6,4,3207
"317",54742,"male",5,"urban","Pangasinan",71610,5,2940
"318",172510,"female",12.5,"urban","Pangasinan",156772,12,2940
"319",47068,"male",4,"urban","Pangasinan",60128.6,4,2940
"320",39442,"female",3.5,"urban","Pangasinan",75240,5,2940
"321",114419,"male",3,"urban","Pangasinan",54340,3,2940
"322",70133,"male",5,"urban","Pangasinan",59885,5,2940
"323",22374,"female",2,"urban","Pangasinan",26774,2,2940
"324",196977,"male",10,"urban","Pangasinan",92920,11,2940
"325",303714,"female",2,"urban","Pangasinan",385643.16,2,2940
"326",36221,"male",2,"urban","Pangasinan",18227,2,2940
"327",50368,"male",6,"urban","Pangasinan",46965,5,2940
"328",46343,"male",3.5,"urban","Pangasinan",39410.2,3,2940
"329",114766,"female",2,"urban","Pangasinan",182700,2,2940
"330",77918,"male",5,"urban","Pangasinan",90640,5,2940
"331",78461,"male",7,"urban","Pangasinan",164734.5,7,2940
"332",202086,"male",3,"urban","Pangasinan",112110,3,2940
"333",116418,"male",4.5,"urban","Pangasinan",103936,5,2940
"334",312056,"male",6,"urban","Pangasinan",190617,6,2940
"335",66106,"male",4,"urban","Pangasinan",181093,5,2940
"336",241190,"male",4,"urban","Pangasinan",239492,5,2940
"337",53771,"male",6,"urban","Pangasinan",106493.8,6,2940
"338",84529,"male",5,"urban","Pangasinan",75313,5,2940
"339",32221,"female",4,"urban","Pangasinan",29008.7,4,2940
"340",95442,"male",8,"urban","Pangasinan",147885.5,8,2940
"341",71712,"male",9,"urban","Pangasinan",78174,10,3207
"342",45850,"male",6,"urban","Pangasinan",31757,6,3207
"343",49815,"male",3,"urban","Pangasinan",35451,4,3207
"344",33755,"male",2,"urban","Pangasinan",39380,2,3207
"345",58403,"male",8.5,"urban","Pangasinan",54252,11,3207
"346",212968,"female",6,"urban","Pangasinan",107470,6,3207
"347",62677,"male",2.5,"urban","Pangasinan",36410,2,3207
"348",57244,"male",5,"urban","Pangasinan",56257,5,3207
"349",50169,"male",10,"urban","Pangasinan",62436,10,3207
"350",60382,"male",9,"urban","Pangasinan",32780,9,3207
"351",46451,"male",9.5,"urban","Pangasinan",50399,10,3207
"352",163754,"male",6.5,"urban","Pangasinan",254359,7,2940
"353",111061,"female",10.5,"urban","Pangasinan",137025,9,2940
"354",56582,"male",6,"urban","Pangasinan",55954,6,2940
"355",167486,"male",6,"urban","Pangasinan",171160,6,2940
"356",179184,"female",4,"urban","Pangasinan",275440,3,2940
"357",48987,"male",5,"urban","Pangasinan",90578.6,5,2940
"358",39271,"female",3.5,"urban","Pangasinan",56595,5,2940
"359",69231,"female",5.5,"urban","Pangasinan",41208,5,2940
"360",47379,"female",3,"urban","Pangasinan",39248.6,3,2940
"361",71572,"female",4.5,"urban","Pangasinan",146793.4,5,2940
"362",36362,"male",7.5,"urban","Pangasinan",48015,8,2940
"363",121156,"male",10,"urban","Pangasinan",123215.96,9,2940
"364",61321,"male",6,"urban","Pangasinan",104565.3,6,2940
"365",91600,"male",9,"urban","Pangasinan",65230,9,2940
"366",73835,"male",7,"urban","Pangasinan",57004.4,7,2940
"367",19781,"male",2,"urban","Pangasinan",61160,2,2940
"368",129060,"female",3,"urban","Pangasinan",89760,3,2940
"369",116067,"female",7.5,"urban","Pangasinan",114950,8,2940
"370",121780,"female",8,"urban","Pangasinan",89890,8,2940
"371",172110,"male",8,"urban","Pangasinan",244319,8,2940
"372",197290,"male",10,"urban","Pangasinan",190630,10,2940
"373",57462,"male",4,"urban","Pangasinan",64460,4,2940
"374",55295,"male",8,"urban","Pangasinan",87450,8,2940
"375",150028,"male",5,"urban","Pangasinan",115948,5,2940
"376",134431,"male",2,"urban","Pangasinan",84131.32,2,2940
"377",111501,"male",9,"urban","Pangasinan",206444,9,2940
"378",167073,"male",7,"urban","Pangasinan",142612,7,2940
"379",121883,"male",8,"urban","Pangasinan",136273.9,7,2940
"380",190837,"female",4,"urban","Pangasinan",169911,4,2940
"381",131992,"male",9,"urban","Pangasinan",129206,10,2940
"382",162960,"male",6,"urban","Pangasinan",165648,6,2940
"383",200274,"male",6,"urban","Pangasinan",207974.8,5,2940
"384",121884,"male",6,"urban","Pangasinan",190267.84,6,2940
"385",198450,"male",7,"urban","Pangasinan",220975.88,7,2940
"386",125175,"male",4,"urban","Pangasinan",89210,4,2940
"387",55812,"male",2,"urban","Pangasinan",61116,3,2940
"388",51053,"male",6.5,"urban","Pangasinan",63044.2,7,2940
"389",40620,"male",4.5,"urban","Pangasinan",28562.8,4,2940
"390",399506,"male",6,"urban","Pangasinan",419364,6,2940
"391",235600,"male",7,"urban","Pangasinan",157629.5,7,2940
"392",43110,"female",2,"urban","Pangasinan",55013,2,2940
"393",51467,"male",4,"urban","Pangasinan",35309.6,4,2940
"394",215102,"male",13,"urban","Pangasinan",144170.6,11,2940
"395",36696,"male",9,"urban","Pangasinan",41800,9,2940
"396",60892,"male",5,"urban","Pangasinan",0,4,2940
"397",142738,"male",4.5,"urban","Pangasinan",119967.8,4,2940
"398",70653,"male",8,"urban","Pangasinan",42076.6,8,2940
"399",361900,"male",6,"urban","Pangasinan",115170,5,2940
"400",74850,"male",7,"urban","Pangasinan",52318,7,2940
"401",582000,"female",11,"urban","Pangasinan",425995.5,11,2940
"402",389000,"male",4,"urban","Pangasinan",276982.4,4,2940
"403",25638,"male",1,"urban","Pangasinan",14645,1,2940
"404",46200,"female",3,"urban","Pangasinan",102272.6,13,2940
"405",87940,"male",9,"urban","Pangasinan",42218,9,2940
"406",64860,"female",5,"urban","Pangasinan",46561,2,2940
"407",639416,"male",6,"urban","Pangasinan",7878,6,2940
"408",56690,"male",9,"urban","Pangasinan",36966,9,2940
"409",835742,"male",5,"urban","Pangasinan",105545,5,2940
"410",38776,"male",3.5,"urban","Pangasinan",40359,4,2940
"411",46818,"male",3,"urban","Pangasinan",32890,3,2940
"412",41275,"male",6,"urban","Pangasinan",44858,6,2940
"413",100640,"male",4,"urban","Pangasinan",85544.2,4,2940
"414",144846,"male",4,"urban","Pangasinan",138344.5,4,2940
"415",42925,"male",6.5,"urban","Pangasinan",80814.8,7,2940
"416",118060,"male",4,"urban","Pangasinan",84274.4,4,2940
"417",148820,"female",3,"urban","Pangasinan",110958.6,3,2940
"418",308807,"male",6,"urban","Pangasinan",106304,3,2940
"419",169732,"female",8,"urban","Pangasinan",277200,9,2940
"420",72730,"male",9,"urban","Pangasinan",83556,10,2940
"421",72377,"male",9,"urban","Pangasinan",123244,10,2940
"422",108686,"male",5,"urban","Pangasinan",64135,6,5879
"423",127125,"male",10,"urban","Pangasinan",110898.9,10,5879
"424",42576,"male",5,"urban","Pangasinan",42622,5,5879
"425",78018,"male",8.5,"urban","Pangasinan",73080,8,5879
"426",50485,"male",5.5,"urban","Pangasinan",55398.7,7,5879
"427",151200,"male",6.5,"urban","Pangasinan",47874,2,5879
"428",133040,"male",7.5,"urban","Pangasinan",40040,7,3207
"429",89554,"male",6,"urban","Pangasinan",86658,6,3207
"430",69276,"female",3,"urban","Pangasinan",72754,3,3207
"431",77691,"male",5,"urban","Pangasinan",53262,5,3207
"432",76870,"male",3,"urban","Pangasinan",132525.8,3,3207
"433",126471,"male",6,"urban","Pangasinan",35931,6,3207
"434",59624,"male",4.5,"urban","Pangasinan",65163,4,3207
"435",86347,"male",5.5,"urban","Pangasinan",121550,6,3207
"436",140272,"male",5,"urban","Pangasinan",103022.5,5,3207
"437",40240,"male",3,"urban","Pangasinan",51914,2,3207
"438",24561,"male",6,"urban","Pangasinan",22440,6,3207
"439",83892,"male",5,"urban","Pangasinan",57772,5,3207
"440",132245,"male",5.5,"urban","Pangasinan",53328,6,3207
"441",113629,"male",8,"urban","Pangasinan",176813,9,3207
"442",59738,"female",2,"urban","Pangasinan",46789.6,2,3207
"443",176020,"male",5.5,"urban","Pangasinan",173643.8,7,3207
"444",85416,"female",9,"urban","Pangasinan",136422,9,3207
"445",148130,"female",3.5,"urban","Pangasinan",73124,3,3207
"446",324101,"male",3,"urban","Pangasinan",271005,3,3207
"447",60382,"male",7,"urban","Pangasinan",103854.8,7,3207
