"factor","tenencia","estructura","ingreso","transporte","publico","mantenimiento"
"131",870,"prestada","nuclear",6682.16,699.07,609.32,0
"132",870,"propia","ampliado",40185.6,4234.39,1452.04,1196.71
"133",870,"propia","nuclear",17244.62,324.1,324.1,0
"134",870,"rentada","nuclear",17877.88,3067.61,1192.76,498.63
"135",1025,"propia","nuclear",44178.62,4557.49,1037.15,1575.67
"136",1025,"propia_pagando","nuclear",121167.09,7479.46,0,3590.14
"137",1025,"propia_pagando","nuclear",33418.18,4853.7,4135.68,0
"138",1025,"propia_pagando","ampliado",73074.27,5979.04,4518.06,802.79
"139",1025,"propia","ampliado",24288.27,953.4,414.88,0
"140",980,"rentada","nuclear",22039.45,2061.4,2061.4,0
"141",980,"propia","nuclear",19554.28,285.22,285.22,0
"142",980,"rentada","unipersonal",13237.63,204.43,129.64,0
"143",851,"propia","nuclear",22425.38,1765.17,583.41,0
"144",851,"rentada","ampliado",40987.39,3444.52,1244.56,1346.3
"145",851,"propia","ampliado",128556.79,10837.7,486.15,897.53
"146",851,"rentada","nuclear",32386.03,3924.24,1231.65,897.53
"147",1026,"propia","nuclear",59366.9,8462.3,3130.95,3590.14
"148",1026,"propia","nuclear",22805.36,538.52,0,0
"149",1026,"propia","nuclear",26547.05,2025.44,350.04,0
"150",1026,"propia","ampliado",36160.15,9082.56,8005.52,0
"151",1026,"rentada","nuclear",31639.06,2866.09,622.26,0
"152",891,"propia","nuclear",15482.46,0,0,0
"153",891,"propia","nuclear",16593.4,5195.73,0,4358.03
"154",891,"propia","ampliado",52029.04,6079.25,4433.77,0
"155",891,"propia","nuclear",48895.66,2866.13,622.29,1047.13
"156",861,"rentada","nuclear",145285.83,12542.54,0,7958.13
"157",861,"propia","nuclear",100085.01,6468.26,544.53,1645.48
"158",861,"propia","ampliado",53702.45,7033.71,4939.46,0
"159",861,"propia","ampliado",29134.94,9679.42,5276.5,3804.56
"160",897,"propia","ampliado",53134.01,7505.4,4109.72,0
"161",897,"rentada","ampliado",31413.69,4260.29,3811.52,0
"162",897,"propia","ampliado",110059.61,6213.93,1581.66,0
"163",897,"propia","nuclear",141953.98,45623.16,58.34,9872.88
"164",968,"propia","ampliado",42672.75,6019.44,4044.87,0
"165",968,"propia","nuclear",19211.22,5043.12,1063.06,0
"166",968,"propia","unipersonal",10401.42,0,0,0
"167",968,"propia","ampliado",89454.23,11559.25,4044.9,3939.18
"168",968,"propia","nuclear",31424.66,2801.8,1575.17,0
"169",787,"prestada","unipersonal",22179.07,2405.92,1328.88,0
"170",787,"prestada","nuclear",23335.9,596.38,596.38,0
"171",787,NA,"ampliado",57177.9,2048.38,2048.38,0
"172",787,"propia","nuclear",22196.54,666.71,576.96,0
"173",787,"prestada","nuclear",16479.72,466.74,466.74,0
"174",1628,"propia","nuclear",14877.13,1924.73,1296.46,0
"175",1628,"prestada","nuclear",18072.37,2212.41,1614.05,0
"176",1628,"propia","nuclear",28147.66,4033.4,2962.34,0
"177",1008,"propia","unipersonal",130641.06,15906.3,0,8975.34
"178",1008,"rentada","nuclear",8875.62,1160.84,1011.25,0
"179",1008,"rentada","nuclear",15656.99,1344.33,596.38,0
"180",1008,"propia","ampliado",24427.88,760.42,162.06,0
"181",1080,"prestada","nuclear",15706.85,1684.41,1205.73,0
"182",1080,"propia","unipersonal",10072.33,663.18,64.82,0
"183",1080,"propia","nuclear",24432.87,6432.31,388.92,0
"184",1080,"propia","ampliado",24107.78,3952.16,2605.86,897.53
"185",2202,"propia","ampliado",23560.27,8067.89,6871.18,0
"186",2202,"propia","ampliado",49264.64,20129.68,3824.48,10471.23
"187",1062,"propia","ampliado",27524.38,5325.38,1866.89,1765.15
"188",1062,"propia","ampliado",31096.58,9280.6,5989.65,0
"189",1062,"rentada","nuclear",24482.73,4936.45,0,3739.73
"190",1062,"propia","nuclear",18252.35,4627.8,369.5,1615.56
"191",886,"propia","nuclear",82637.94,9269.53,1101.97,4986.3
"192",886,"propia","nuclear",17352.32,3620.04,2722.51,0
"193",886,"propia","ampliado",39924.33,4540.54,2670.68,0
"194",886,"propia","nuclear",34455.34,1216.67,259.3,0
"195",982,"propia","nuclear",54069.94,4126.66,207.43,2184
"196",982,"rentada","nuclear",14360.54,2749.46,2722.53,0
"197",982,"rentada","nuclear",12465.75,1212.71,1063.12,0
"198",982,"propia","nuclear",16390.97,1276.49,0,0
"199",982,"rentada","nuclear",141511.2,14899.07,0,1595.62
"200",1116,"rentada","nuclear",10949.92,1331.36,972.35,0
"201",1116,"propia","ampliado",21502.92,1428.09,829.73,0
"202",1116,"propia","nuclear",49364.37,3889.32,0,1795.07
"203",1116,"prestada","unipersonal",15856.43,997.25,907.5,0
"204",1116,"rentada","ampliado",29503.91,1905.82,1905.82,0
"205",866,"propia","nuclear",33648.57,6445.26,1387.17,0
"206",866,"propia","nuclear",101221.89,6756.43,0,4487.67
"207",866,"propia","nuclear",24931.5,855.69,855.69,0
"208",866,"propia","ampliado",56245.46,4681.26,2437.42,0
"209",866,"litigio","ampliado",73091.67,6013.55,3811.6,49.86
"210",1512,"rentada","unipersonal",45135.99,2951.91,259.3,598.36
"211",1512,"propia_pagando","ampliado",196512.08,15565.25,453.76,13263.57
"212",1512,"propia","ampliado",149838.32,10750.49,518.6,6881.09
"213",938,"propia","unipersonal",170531.46,3440.55,0,2543.02
"214",938,"propia","ampliado",14211.96,897.53,0,0
"215",938,"rentada","nuclear",116280.52,1999.51,324.12,0
"216",938,"propia","nuclear",63126.56,4527.59,518.6,0
"217",938,"rentada","nuclear",44876.7,8227.4,0,4487.67
"218",934,"propia","nuclear",52710.18,15008.77,0,9324.38
"219",934,"propia","nuclear",240439.38,15374.76,518.58,6133.15
"220",934,"prestada","unipersonal",75736.92,1166.79,1166.79,0
"221",888,"propia","nuclear",46063.44,3620.04,777.85,0
"222",888,"propia","nuclear",19346.85,753.94,155.58,0
"223",888,"propia","ampliado",31239.17,897.53,0,0
"224",888,"propia","unipersonal",17595.66,1849.44,1251.08,0
"225",759,"propia","ampliado",47868.48,622.32,622.32,0
"226",759,"rentada","nuclear",22463.3,2954.91,1892.83,0
"227",759,"propia_pagando","coresidente",107370.99,9946.68,881.58,5325.37
"228",759,"rentada","nuclear",92346.28,7658.95,0,2393.42
"229",985,"rentada","coresidente",108427.09,11667.95,0,6871.13
"230",985,"rentada","ampliado",36798.9,4484.67,1542.75,0
"231",1011,"propia","nuclear",433808.1,26626.84,0,7479.45
"232",1011,"propia","unipersonal",59835.6,4966.35,0,1495.89
"233",1011,"propia","nuclear",435977.14,160858.04,0,3590.14
"234",1011,"propia","nuclear",214610.36,8975.34,0,4487.67
"235",983,"propia","ampliado",62576.07,961.38,363.02,0
"236",983,"propia","ampliado",30815.33,3899.29,907.5,1795.07
"237",983,"rentada","nuclear",22613.87,3216.2,1555.76,0
"238",983,"rentada","nuclear",8634.29,0,0,0
"239",1178,"propia","unipersonal",108132.9,4575.43,2074.3,0
"240",1178,"propia","nuclear",28421.91,2385.45,440.8,0
"241",1178,"rentada","nuclear",35901.36,5385.2,0,3590.14
"242",1178,"propia","nuclear",83769.84,10919.98,3889.3,4786.85
"243",919,"rentada","nuclear",4427.83,1892.89,1892.89,0
"244",919,"rentada","nuclear",28146.68,2752.45,1555.74,0
"245",919,"propia","nuclear",16125.69,8745.52,2742,4208.45
"246",919,"rentada","ampliado",48566.56,2683.72,2683.72,0
"247",919,"litigio","nuclear",27673.97,3395.19,1899.3,0
"248",867,"prestada","nuclear",36944.52,3935.23,1452.05,0
"249",867,"propia","nuclear",18987.83,3043.72,1607.66,0
"250",867,"propia","ampliado",37995.61,2642.8,1296.5,0
"251",867,"propia","ampliado",21050.16,558.48,259.3,0
"252",867,"prestada","unipersonal",65375.39,11348.82,0,8775.89
"253",778,"rentada","nuclear",12062.84,544.53,544.53,0
"254",778,"prestada","nuclear",33623.11,2886.09,803.81,1483.92
"255",778,"propia","nuclear",37514.93,1464.99,687.13,0
"256",778,"prestada","nuclear",88731.22,16982.36,3176.28,7948.17
"257",902,"propia","ampliado",32083.86,4926.47,1037.15,1495.89
"258",902,"propia","unipersonal",31672.99,2943.44,849.19,0
"259",902,"propia","nuclear",28222.48,817.78,518.6,0
"260",873,"propia","nuclear",336151.4,5326.38,3980.07,0
"261",873,NA,"unipersonal",9390.21,453.75,453.75,0
"262",873,"propia","ampliado",31965.19,1723.27,1166.8,0
"263",873,"propia","unipersonal",39511.47,2139.11,194.45,0
"264",951,"propia","ampliado",55350.28,3494.5,1074.78,1209.86
"265",951,"rentada","nuclear",15879.15,5303.25,917.5,2419.72
"266",951,"rentada","ampliado",61172.55,3294.87,1782.54,0
"267",951,"prestada","nuclear",19704.38,2911.73,2306.8,0
"268",919,"propia","ampliado",146315.2,13699.64,2306.79,5141.91
"269",919,"propia","nuclear",33573.21,5076.38,851.95,2258.41
"270",919,"propia","ampliado",29459.75,3594.27,2293.67,0
"271",919,"propia","nuclear",69737.45,7801.58,1952.91,2439.89
"272",919,"propia","nuclear",64793.23,756.16,0,0
"273",774,"rentada","nuclear",117609.58,5502.78,3486.37,0
"274",774,"propia","nuclear",203052.82,12806.41,7890.35,604.93
"275",774,"prestada","nuclear",65535.28,10132.08,2116.76,6049.3
"276",774,"propia","ampliado",132231.03,6560.47,943.68,2449.98
"277",774,"prestada","nuclear",49674.15,6528.25,3551.99,0
"278",971,"propia","nuclear",196599.25,10687.03,0,4839.44
"279",971,"propia_pagando","nuclear",198719.01,5267.93,0,2848.21
"280",971,"rentada","nuclear",57467.4,1976.11,0,907.4
"281",391,"propia","nuclear",183684.58,18273.81,262.14,7460.79
"282",391,"propia","nuclear",255377.71,43342.76,0,10636.67
"283",391,"propia","nuclear",293890.8,20711.28,0,7221.34
"284",1260,"propia","ampliado",72675.25,8080.86,6356.81,0
"285",1260,"propia","ampliado",24771.54,862.04,314.58,0
"286",1260,"prestada","nuclear",13511.92,1533.49,1533.49,0
"287",1260,"propia","ampliado",59692.68,20333.56,4010.66,5383.88
"288",1260,"propia","nuclear",3004.47,0,0,0
"289",1027,"propia","nuclear",23944.85,0,0,0
"290",1027,"rentada","ampliado",14421.31,943.68,943.68,0
"291",1027,"prestada","nuclear",46326.84,5267.93,1245.14,2117.26
"292",1027,"prestada","unipersonal",32277.78,4790.03,563.59,1814.79
"293",1027,"prestada","ampliado",103598.51,655.35,655.35,0
"294",947,"rentada","ampliado",36906.22,7174.51,3499.56,2707.06
"295",947,"prestada","nuclear",8468.94,904.37,904.37,0
"296",947,"rentada","nuclear",13744.82,3579.15,2883.48,0
"297",947,"rentada","nuclear",10586.11,302.47,0,0
"298",928,"propia","nuclear",51956.93,4544.53,1238.59,1058.63
"299",928,"propia","nuclear",59118.97,2835.08,655.32,1396.38
"300",928,"propia","ampliado",55063.98,5012.85,2293.69,0
"301",928,"propia","nuclear",58687.52,11488.1,1657.98,7259.16
"302",893,"propia","nuclear",51511.14,4213.38,2005.38,0
"303",893,"rentada","nuclear",61399.38,11695.32,0,9073.95
"304",893,"propia","unipersonal",21096.76,544.44,0,0
"305",893,"prestada","nuclear",27704.48,5152.02,524.3,2419.72
"306",893,"propia","ampliado",23834,816.66,0,0
"307",942,"rentada","ampliado",8821.74,3959.25,3263.58,0
"308",942,"propia","ampliado",60517.31,2195.89,314.56,1209.86
"309",942,"rentada","unipersonal",20839.6,943.68,943.68,0
"310",942,"litigio","nuclear",74758.1,4460.84,1133.73,756.16
"311",942,"propia","unipersonal",6704.56,917.49,917.49,0
"312",997,"propia","unipersonal",16373.28,4115.98,3178.34,0
"313",997,"rentada","unipersonal",5444.28,65.53,65.53,0
"314",997,"propia","nuclear",42344.6,9087.62,5760.5,0
"315",997,"propia","ampliado",34047.11,5757.93,4548.07,0
"316",997,"propia","nuclear",26732.5,821.69,65.53,252.05
"317",838,"propia","ampliado",26415,2520.56,1310.7,0
"318",838,"propia","ampliado",58205.52,2576,851.94,0
"319",838,"propia","nuclear",51035.18,3833.24,983,1451.84
"320",838,"propia","nuclear",18046.86,2310.83,1730.1,0
"321",969,"prestada","nuclear",28506.94,3407.77,1048.54,0
"322",969,"propia","nuclear",43856.8,6412.26,0,3790.89
"323",969,"rentada","ampliado",45474.89,2708.13,1861.22,0
"324",969,"litigio","nuclear",49603.64,4612.61,0,2646.58
"325",969,"rentada","nuclear",14467.67,2002.28,1808.7,0
"326",1191,"prestada","nuclear",24663.78,1922.67,1363.11,0
"327",1191,"propia","nuclear",21699.04,4517.83,3447.1,0
"328",1191,"propia","nuclear",32489.29,3338.2,1795.63,0
"329",994,"propia","nuclear",122194.34,12390.44,1474.48,9315.92
"330",994,"propia","nuclear",127386.57,13005.98,0,8166.54
"331",994,"propia","unipersonal",125117.93,45772.47,0,7763.26
"332",994,"rentada","nuclear",30674.49,2152.04,32.77,1547.61
"333",994,"prestada","unipersonal",107953.37,12753.92,0,10939.13
"334",874,"propia_pagando","unipersonal",30271.3,5983.75,0,3553.97
"335",874,"propia_pagando","nuclear",31198.96,943.69,943.69,0
"336",874,"rentada","ampliado",20360.65,1048.55,1048.55,0
"337",874,"prestada","nuclear",18722.34,2466.12,1861.19,0
"338",874,"propia_pagando","nuclear",32403.66,2740.36,2437.89,0
"339",1005,"propia","nuclear",44734.01,2159.57,1100.94,0
"340",1005,"prestada","nuclear",31878.48,5929.31,851.93,3474.31
"341",1005,"rentada","nuclear",64519.79,11650.93,419.42,7198.64
"342",1005,"propia","nuclear",43806.52,5262.86,1441.75,0
"343",1005,"propia","nuclear",20315.31,2017.48,865.08,0
"344",888,"propia_pagando","nuclear",47273.7,4902.99,3027.71,0
"345",888,"rentada","nuclear",22730.95,6847.87,5033.08,0
"346",888,"propia_pagando","nuclear",20567.36,2658.16,1448.3,0
"347",888,"prestada","nuclear",19264.78,614,78.64,0
"348",888,"propia","ampliado",51643.97,4587.37,2542.71,0
"349",905,"propia","nuclear",26031.88,774.31,0,0
"350",905,"propia","nuclear",24897.65,2831.1,865.08,0
"351",905,"propia","nuclear",36371.96,4059.08,550.48,1814.79
"352",905,"propia","ampliado",19104.44,1402.46,1402.46,0
"353",905,"propia","ampliado",10695.06,0,0,0
"354",1001,"rentada","nuclear",12781.97,1233.07,930.6,0
"355",1001,"rentada","ampliado",16937.76,1857.15,1494.19,0
"356",1001,"rentada","unipersonal",9099.01,1095.93,642.23,0
"357",1001,"prestada","nuclear",60945.85,2867.44,1808.81,0
"358",1045,"propia","nuclear",27724.61,1507.27,1507.27,0
"359",1045,"prestada","ampliado",51578.66,6048.26,2267.46,0
"360",1045,"propia","ampliado",74951.86,6061.43,4639.84,0
"361",1060,"prestada","nuclear",18318.09,2624.39,1245.15,0
"362",1060,"propia","ampliado",37399.35,3968.36,943.7,0
"363",1060,"prestada","nuclear",22765.27,1449.82,602.92,0
"364",1060,"rentada","nuclear",55551.82,9057.85,4823.33,0
"365",1060,"propia","ampliado",61076.89,2093.11,943.74,0
"366",989,"rentada","nuclear",7259.04,969.9,969.9,0
"367",989,"prestada","ampliado",25658.84,1454.86,1454.86,0
"368",966,"propia","nuclear",24045.62,544.44,0,0
"369",966,"propia","nuclear",51861.01,13727.89,5400.05,5192.28
"370",966,"propia","unipersonal",19499.65,2528.61,1127.19,0
"371",966,"prestada","nuclear",9961.03,2174.72,2083.98,0
"372",966,"rentada","nuclear",16504.33,3270.61,2726.17,0
"373",883,"propia","ampliado",11982.49,5381.85,996.11,3629.58
"374",883,"propia","nuclear",30246.25,4234.52,0,1209.86
"375",883,"rentada","nuclear",18147.61,2201.92,2201.92,0
"376",883,"propia_pagando","nuclear",192164.09,7047.4,0,2419.72
"377",1248,"prestada","nuclear",22256.12,4205.79,2693.46,0
"378",1248,"prestada","nuclear",38798.74,181.48,0,0
"379",1248,"prestada","ampliado",41406.98,2361.27,1599.06,0
"380",1248,"rentada","ampliado",24983.3,907.4,0,0
"381",1251,"rentada","ampliado",33275.75,5341.55,4010.7,0
"382",1251,"prestada","nuclear",267677.35,36297.32,0,5666.16
"383",1251,"propia","nuclear",83519.86,7105.91,458.73,3180.93
"384",1407,"propia_pagando","nuclear",81311.48,4536.98,1730.1,604.93
"385",1407,"propia","nuclear",32302.85,4440.17,2857.27,403.29
"386",1407,"propia","nuclear",21298.34,6309.46,2831.11,3478.35
"387",961,"prestada","ampliado",44277.28,2764.52,2673.78,0
"388",961,"litigio","ampliado",31577.89,3972.43,3669.96,0
"389",961,"propia","nuclear",33431.57,1774.47,262.14,0
"390",591,"rentada","nuclear",35902.02,2012.9,1317.23,0
"391",591,"propia","nuclear",49500.91,2553.31,557.05,1270.35
"392",591,"propia_pagando","nuclear",31667.73,7201.69,5976.7,0
"393",976,"propia","nuclear",75767.72,6129.97,0,4536.98
"394",976,"propia","ampliado",60492.25,6351.77,0,5444.37
"395",976,"propia","nuclear",140644.4,5746.84,0,5746.84
"396",976,"propia","nuclear",83218.95,17815.18,0,10435.03
"397",1114,"propia","ampliado",70119.53,17182.04,3997.59,1966.03
"398",1114,"propia_pagando","ampliado",25378.5,2372.34,2372.34,0
"399",1114,"propia","nuclear",171242.05,11365.6,2097.08,6089.62
"400",1114,"propia_pagando","nuclear",296714.63,7763.26,0,3831.21
"401",919,"propia","ampliado",87714.52,921.5,340.77,0
"402",919,"propia","ampliado",47959.43,4009.76,3407.85,0
"403",919,"prestada","ampliado",17879.51,4443.2,1533.5,0
"404",919,"prestada","unipersonal",21148.18,1114.09,1114.09,0
"405",919,"prestada","ampliado",19574.3,1523.41,943.68,0
"406",1130,"propia","nuclear",12841.54,1179.6,1179.6,0
"407",1130,"propia","nuclear",20693.46,3144.65,1874.29,907.4
"408",1130,"prestada","nuclear",17331.07,944.72,642.25,0
"409",1130,"propia","nuclear",19255.33,2053.75,904.38,604.93
"410",1130,"propia","nuclear",18147.68,3844.32,2634.46,0
"411",903,"propia","nuclear",61248.25,6936.54,0,5620.81
"412",903,"propia","ampliado",33270.7,4539.49,1998.78,0
"413",903,"propia","nuclear",35962.65,3399.71,0,2041.64
"414",903,"litigio","nuclear",50231.8,2676.79,1966,0
"415",1094,"propia","ampliado",35024.91,5610.77,4325.28,302.47
"416",1094,"propia","ampliado",15123.1,2434.87,1769.45,0
"417",1094,"prestada","nuclear",9678.75,956.83,956.83,0
"418",1094,"propia","ampliado",20683.41,3761.69,2844.22,0
"419",167,"propia_pagando","ampliado",50052.35,6903.27,2739.35,3075.05
"420",167,"propia_pagando","nuclear",18236.43,2173.72,1048.54,0
"421",167,"propia_pagando","ampliado",36617.99,6714.31,5577.04,0
"422",167,"propia_pagando","nuclear",11475.4,2241.3,2241.3,0
"423",167,"prestada","nuclear",28481.77,4326.31,3761.71,0
"424",167,"propia_pagando","ampliado",36215.78,5663.11,5360.64,0
"425",977,"propia","ampliado",265667.43,13163.24,1271.39,5373.78
"426",977,"rentada","nuclear",305030.97,73763.2,8860.2,0
"427",977,"propia_pagando","ampliado",495130.39,33458.31,943.68,5293.13
"428",1181,"propia","ampliado",61865.33,5422.23,2700.04,0
"429",1181,"rentada","nuclear",35085.42,5686.34,393.2,3024.65
"430",1181,"propia","unipersonal",22768.38,562.58,0,0
"431",1181,"propia_pagando","nuclear",175316.23,18541.08,0,10283.8
"432",1181,"propia_pagando","nuclear",103275.48,8534.62,1900.55,3266.62
"433",1338,"propia","nuclear",65168.79,2756.48,1546.62,0
